ent_text_x,synonyms
Ackerman,Josef Ackermann
Alex Sapir,Sapir
Boris Rotenberg,Rotenberg
Breuer,Ernst Breuer
Carl Levin,Levin
Crown Prince Mohammed bin Zayed al Nahyan,Mohammed bin Zayed
David Kautter,Kautter
Diane Glossman,Glossman
Donald Trump Jr.,Donald Jr.
Donald J. Trump,Donald Trump|Trump|Trump et al
Vladimir Putin,Putin
Jack Rosen,Rosen
Jared Kushner,Kushner
Josef Ackerman,Josef Ackermann
Lev Leviev,Leviev|Leviev et al
Magnitsky,Sergei Magnitsky
Maxine Waters,Waters
Rosen,Rotem Rosen
Tim Wiswell,Wiswell
Constantinos Koudellaris,Koudellaris
Steve Bannon,Bannon
Dmitry Firtash,Firtash
Ivan Fursin,Fursin
Sergey Gorkov,Gorkov
Rosemary Vrablic,Vrablic
Oleg Deripaska,Deripaska
Preet Bharara,Bharara
Geoffrey Berman,Berman
Bill Browder,Browder
Nikolai Gorokov,Gorokov
Louise Shelley,Shelley
